epoch,acc,loss,val_acc,val_loss
0,0.55,0.9073813438415528,0.5,8.015119743347167
1,0.575,0.6660898208618165,0.5,7.807612514495849
2,0.75,0.698937737941742,0.5,8.015119552612305
3,0.675,0.6097394227981567,0.5,8.015119552612305
4,0.7,0.49807449579238894,0.5,8.015119647979736
5,0.725,0.5444058060646058,0.5,8.015119647979736
6,0.725,0.6230250120162963,0.5,8.015119552612305
7,0.875,0.4540020227432251,0.55,5.9513555526733395
8,0.85,0.372297003865242,0.45,7.339775657653808
9,0.825,0.32390113472938536,0.425,7.235539817810059
10,0.9,0.18727814257144929,0.5,7.998080825805664
11,0.85,0.30124731063842775,0.5,7.619963645935059
12,0.925,0.20060025826096534,0.55,5.9071348190307615
13,0.95,0.19151554703712464,0.5,7.342704391479492
14,0.9,0.19003890752792357,0.5,8.015119552612305
15,0.825,0.3662978529930115,0.5,8.015119552612305
16,0.8,0.32620824575424195,0.55,6.279055500030518
17,0.825,0.4267185807228088,0.55,6.005049705505371
18,0.825,0.3163855731487274,0.625,5.688694858551026
19,0.85,0.4654794692993164,0.525,6.848818778991699
20,0.8,0.5495654344558716,0.5,7.994351577758789
21,0.775,0.38012858629226687,0.475,7.771422576904297
22,0.825,0.3041025996208191,0.4,8.829034805297852
23,0.9,0.41518797874450686,0.5,7.796554183959961
24,0.85,0.35066221952438353,0.5,8.015118885040284
