epoch,acc,loss,val_acc,val_loss
0,0.6946,0.5894982071876526,0.8179640719276703,0.4396522256071696
1,0.72765,0.5511069235324859,0.8359281437125748,0.47372651414243044
2,0.746,0.527500692653656,0.859880239592341,0.40240499073873737
3,0.7463,0.5217440596580505,0.8131736527659936,0.45874432896425626
4,0.7541,0.5147056634426117,0.8491017964071856,0.4116428600099986
5,0.75685,0.512315274810791,0.8467065868263473,0.40266273696265537
6,0.7601,0.5046460499286651,0.8634730538922155,0.4049176083710379
7,0.76355,0.49662352962493894,0.8574850299401198,0.39849181799831507
8,0.7674,0.49038839080333707,0.8514970059880239,0.37727272444499466
9,0.77185,0.48572707505226137,0.8538922156402451,0.40696528082836175
10,0.7761,0.4772522490978241,0.8514970059880239,0.38935352938617773
11,0.78085,0.46851889626979826,0.8586826348019218,0.3858354197290843
12,0.7841,0.4653478995323181,0.8502994012689876,0.39482199146362124
13,0.7916,0.44917782113552096,0.8467065868977302,0.37711623214675993
14,0.79655,0.44239530093669893,0.8514970060237154,0.39369346674330935
15,0.8038,0.43224560301303866,0.831137724622281,0.42084143283124453
16,0.80625,0.4239195167541504,0.844311377245509,0.39696195893837305
17,0.8108,0.41495046684741976,0.8407185628742515,0.3967909935348762
18,0.817,0.40579410526752474,0.8323353293413174,0.4047405147266959
19,0.82495,0.3874867233753204,0.8107784431137725,0.4417056206457629
20,0.82825,0.3847744416475296,0.8203592814728171,0.43563832594249063
21,0.83545,0.3701473405122757,0.8227544910536555,0.431071701592314
22,0.8416,0.35570205659866333,0.8359281437839576,0.4235871467761651
23,0.8483,0.34638867495059966,0.8407185628742515,0.43155863023848234
24,0.8517,0.3389922951936722,0.8359281437125748,0.410113057583392
